Det File Crosshead Load1 Load2 sampX sampY I0 Trans  dH1 ddH1 dV1 ddV1 dXY1 ddXY1 PeakInt1 mFWHM1 dHplus1 dHminus1  dH2 ddH2 dV2 ddV2 dXY2 ddXY2 PeakInt2 mFWHM2 dHplus2 dHminus2  dH3 ddH3 dV3 ddV3 dXY3 ddXY3 PeakInt3 mFWHM3 dHplus3 dHminus3  dH4 ddH4 dV4 ddV4 dXY4 ddXY4 PeakInt4 mFWHM4 dHplus4 dHminus4 dH5 ddH5 dV5 ddV5 dXY5 ddXY5 PeakInt5 mFWHM5 dHplus5 dHminus5 
5 5660 -25.628500 1784.320000 1699.000000 4.300000 -0.119994 3.227972e+08 0.254882 1.993470 0.000098 1.995426 0.000137 1.994577 0.000082 1351.460579 2.960866 1.985998 2.000998 1.410178 0.000041 1.411879 0.000153 1.410902 0.000046 262.811325 3.210635 1.406752 1.413620 0.997490 0.000027 0.998171 0.000098 0.997878 0.000041 106.998710 3.937855 0.995504 0.999484 0.892230 0.000036 0.892909 0.000120 0.892630 0.000055 119.840461 4.409001 0.890503 0.893963 0.814460 0.000025 0.815292 0.000106 0.814777 0.000041 28.495189 4.487647 0.812953 0.815974
5 5661 -25.628500 1783.890000 1700.290000 4.320000 -0.119994 3.222378e+08 0.255874 1.993488 0.000090 1.995523 0.000109 1.994508 0.000071 1354.370145 2.958788 1.986040 2.000993 1.410188 0.000040 1.411708 0.000150 1.410833 0.000044 266.823807 3.136345 1.406769 1.413624 0.997507 0.000030 0.998234 0.000099 0.997808 0.000048 108.510828 3.871936 0.995500 0.999521 0.892236 0.000035 0.892894 0.000125 0.892634 0.000050 122.806617 4.406713 0.890516 0.893963 0.814461 0.000024 0.815333 0.000104 0.814811 0.000041 28.809040 4.568881 0.812959 0.815970
5 5662 -25.628600 1782.700000 1698.050000 4.340000 -0.119994 3.223776e+08 0.255589 1.993485 0.000089 1.995445 0.000139 1.994454 0.000082 1365.015077 2.941774 1.986040 2.000986 1.410155 0.000040 1.411616 0.000176 1.410845 0.000045 262.411458 3.147925 1.406747 1.413579 0.997525 0.000027 0.997925 0.000140 0.997776 0.000046 109.228746 3.816544 0.995532 0.999525 0.892244 0.000049 0.892920 0.000110 0.892642 0.000046 122.285948 4.407167 0.890531 0.893963 0.814420 0.000024 0.815287 0.000102 0.814860 0.000040 28.146857 4.473230 0.812910 0.815936
5 5663 -25.628600 1783.770000 1697.010000 4.360000 -0.119994 3.220979e+08 0.255985 1.993451 0.000094 1.995378 0.000149 1.994509 0.000088 1364.919378 2.936780 1.985986 2.000972 1.410159 0.000035 1.411752 0.000189 1.410933 0.000043 262.607624 3.201912 1.406739 1.413595 0.997452 0.000025 0.997982 0.000125 0.997846 0.000046 108.631537 3.933954 0.995447 0.999465 0.892252 0.000050 0.892894 0.000127 0.892649 0.000039 116.687766 4.451650 0.890517 0.893994 0.814434 0.000019 0.815305 0.000110 0.814824 0.000038 28.165410 4.403138 0.812912 0.815962
5 5664 -25.628400 1783.410000 1698.110000 4.380000 -0.119994 3.222378e+08 0.256105 1.993543 0.000092 1.995487 0.000165 1.994400 0.000109 1338.432111 2.942723 1.986016 2.001129 1.410129 0.000036 1.411886 0.000172 1.411011 0.000039 263.400488 3.211516 1.406641 1.413634 0.997522 0.000025 0.998105 0.000119 0.997809 0.000045 110.112732 3.897345 0.995496 0.999557 0.892250 0.000048 0.892852 0.000138 0.892646 0.000043 119.008369 4.412084 0.890523 0.893984 0.814432 0.000028 0.815220 0.000113 0.814833 0.000034 28.648903 4.365487 0.812906 0.815963
5 5665 -25.628700 1784.140000 1700.130000 4.400000 -0.119994 3.218182e+08 0.256584 1.993632 0.000091 1.995301 0.000173 1.994399 0.000106 1341.172743 2.945490 1.986113 2.001208 1.410125 0.000034 1.411794 0.000161 1.411000 0.000045 263.783372 3.226439 1.406627 1.413641 0.997519 0.000023 0.997965 0.000119 0.997791 0.000047 109.490945 3.982125 0.995480 0.999567 0.892261 0.000078 0.892811 0.000151 0.892638 0.000038 118.872102 4.469176 0.890543 0.893985 0.814380 0.000031 0.815320 0.000121 0.814777 0.000031 27.950176 4.444007 0.812808 0.815958
5 5666 -25.628500 1784.330000 1698.820000 4.420000 -0.119994 3.220979e+08 0.256303 1.993513 0.000092 1.995368 0.000197 1.994275 0.000093 1341.148302 2.939673 1.986003 2.001081 1.410203 0.000036 1.411578 0.000134 1.410983 0.000043 257.628194 3.172461 1.406732 1.413692 0.997519 0.000025 0.998003 0.000128 0.997735 0.000044 109.774865 3.946612 0.995456 0.999590 0.892255 0.000066 0.892795 0.000142 0.892671 0.000037 119.461974 4.478888 0.890520 0.893997 0.814417 0.000033 0.815136 0.000085 0.814735 0.000030 27.892577 4.487694 0.812833 0.816007
5 5667 -25.628600 1784.030000 1698.490000 4.440000 -0.119994 3.222378e+08 0.256713 1.993573 0.000094 1.995072 0.000263 1.994225 0.000104 1340.894003 2.946214 1.986081 2.001122 1.410136 0.000035 1.411611 0.000153 1.410956 0.000041 258.725374 3.169908 1.406605 1.413685 0.997513 0.000026 0.998047 0.000127 0.997729 0.000041 109.493196 3.980231 0.995468 0.999568 0.892253 0.000058 0.892761 0.000139 0.892632 0.000034 120.894093 4.485175 0.890491 0.894022 0.814390 0.000033 0.814964 0.000084 0.814755 0.000030 25.957931 4.409918 0.812805 0.815981
5 5668 -25.628600 1784.420000 1701.250000 4.460000 -0.119994 3.222378e+08 0.256366 1.993688 0.000093 1.995009 0.000179 1.994210 0.000113 1340.979788 2.955546 1.986196 2.001237 1.410139 0.000034 1.411356 0.000189 1.411090 0.000036 258.087226 3.164678 1.406584 1.413711 0.997532 0.000028 0.997991 0.000118 0.997683 0.000033 106.607960 3.945225 0.995462 0.999611 0.892223 0.000057 0.892720 0.000134 0.892572 0.000027 120.814029 4.533107 0.890454 0.894000 0.814353 0.000027 0.814854 0.000075 0.814764 0.000043 27.123903 4.424934 0.812771 0.815942
5 5669 -25.628500 1785.120000 1698.220000 4.480000 -0.119994 3.216783e+08 0.255710 1.993650 0.000099 1.994973 0.000195 1.994316 0.000131 1364.982785 2.956869 1.986093 2.001264 1.410190 0.000034 1.411158 0.000153 1.411004 0.000040 251.208797 3.172939 1.406584 1.413815 0.997525 0.000028 0.997848 0.000139 0.997733 0.000033 111.697870 3.893997 0.995445 0.999613 0.892227 0.000068 0.892695 0.000116 0.892530 0.000025 120.042385 4.542739 0.890466 0.893996 0.814370 0.000029 0.814877 0.000067 0.814668 0.000037 28.331707 4.342922 0.812753 0.815993
